map,scenario,N,runtime_ms,makespan,soc,success
room-32-32-4,room-32-32-4-random-10,50,0,0,0,1
room-32-32-4,room-32-32-4-random-10,100,1,1,1,1
room-32-32-4,room-32-32-4-random-10,200,5,5,5,1
room-32-32-4,room-32-32-4-random-10,300,11,11,11,1
room-32-32-4,room-32-32-4-random-11,50,0,0,0,1
room-32-32-4,room-32-32-4-random-11,100,1,1,1,1
room-32-32-4,room-32-32-4-random-11,200,5,5,5,1
room-32-32-4,room-32-32-4-random-11,300,10,10,10,1
room-32-32-4,room-32-32-4-random-12,50,0,0,0,1
room-32-32-4,room-32-32-4-random-12,100,1,1,1,1
room-32-32-4,room-32-32-4-random-12,200,4,4,4,1
room-32-32-4,room-32-32-4-random-12,300,9,9,9,1
room-32-32-4,room-32-32-4-random-13,50,0,0,0,1
room-32-32-4,room-32-32-4-random-13,100,2,2,2,1
room-32-32-4,room-32-32-4-random-13,200,5,5,5,1
room-32-32-4,room-32-32-4-random-13,300,10,10,10,1
room-32-32-4,room-32-32-4-random-14,50,0,0,0,1
room-32-32-4,room-32-32-4-random-14,100,1,1,1,1
room-32-32-4,room-32-32-4-random-14,200,4,4,4,1
room-32-32-4,room-32-32-4-random-14,300,10,10,10,1
room-32-32-4,room-32-32-4-random-15,50,0,0,0,1
room-32-32-4,room-32-32-4-random-15,100,1,1,1,1
room-32-32-4,room-32-32-4-random-15,200,4,4,4,1
room-32-32-4,room-32-32-4-random-15,300,10,10,10,1
room-32-32-4,room-32-32-4-random-16,50,0,0,0,1
room-32-32-4,room-32-32-4-random-16,100,1,1,1,1
room-32-32-4,room-32-32-4-random-16,200,5,5,5,1
room-32-32-4,room-32-32-4-random-16,300,9,9,9,1
room-32-32-4,room-32-32-4-random-17,50,0,0,0,1
room-32-32-4,room-32-32-4-random-17,100,1,1,1,1
room-32-32-4,room-32-32-4-random-17,200,5,5,5,1
room-32-32-4,room-32-32-4-random-17,300,11,11,11,1
room-32-32-4,room-32-32-4-random-18,50,0,0,0,1
room-32-32-4,room-32-32-4-random-18,100,1,1,1,1
room-32-32-4,room-32-32-4-random-18,200,6,6,6,1
room-32-32-4,room-32-32-4-random-18,300,11,11,11,1
room-32-32-4,room-32-32-4-random-19,50,1,1,1,1
room-32-32-4,room-32-32-4-random-19,100,1,1,1,1
room-32-32-4,room-32-32-4-random-19,200,5,5,5,1
room-32-32-4,room-32-32-4-random-19,300,11,11,11,1
room-32-32-4,room-32-32-4-random-1,50,0,0,0,1
room-32-32-4,room-32-32-4-random-1,100,1,1,1,1
room-32-32-4,room-32-32-4-random-1,200,4,4,4,1
room-32-32-4,room-32-32-4-random-1,300,10,10,10,1
room-32-32-4,room-32-32-4-random-20,50,1,1,1,1
room-32-32-4,room-32-32-4-random-20,100,2,2,2,1
room-32-32-4,room-32-32-4-random-20,200,5,5,5,1
room-32-32-4,room-32-32-4-random-20,300,10,10,10,1
room-32-32-4,room-32-32-4-random-21,50,0,0,0,1
room-32-32-4,room-32-32-4-random-21,100,1,1,1,1
room-32-32-4,room-32-32-4-random-21,200,5,5,5,1
room-32-32-4,room-32-32-4-random-21,300,10,10,10,1
room-32-32-4,room-32-32-4-random-22,50,0,0,0,1
room-32-32-4,room-32-32-4-random-22,100,1,1,1,1
room-32-32-4,room-32-32-4-random-22,200,4,4,4,1
room-32-32-4,room-32-32-4-random-22,300,13,13,13,1
room-32-32-4,room-32-32-4-random-23,50,0,0,0,1
room-32-32-4,room-32-32-4-random-23,100,2,2,2,1
room-32-32-4,room-32-32-4-random-23,200,5,5,5,1
room-32-32-4,room-32-32-4-random-23,300,9,9,9,1
room-32-32-4,room-32-32-4-random-24,50,0,0,0,1
room-32-32-4,room-32-32-4-random-24,100,1,1,1,1
room-32-32-4,room-32-32-4-random-24,200,6,6,6,1
room-32-32-4,room-32-32-4-random-24,300,9,9,9,1
room-32-32-4,room-32-32-4-random-25,50,0,0,0,1
room-32-32-4,room-32-32-4-random-25,100,2,2,2,1
room-32-32-4,room-32-32-4-random-25,200,7,7,7,1
room-32-32-4,room-32-32-4-random-25,300,15,15,15,1
room-32-32-4,room-32-32-4-random-2,50,1,1,1,1
room-32-32-4,room-32-32-4-random-2,100,2,2,2,1
room-32-32-4,room-32-32-4-random-2,200,6,6,6,1
room-32-32-4,room-32-32-4-random-2,300,10,10,10,1
room-32-32-4,room-32-32-4-random-3,50,0,0,0,1
room-32-32-4,room-32-32-4-random-3,100,2,2,2,1
room-32-32-4,room-32-32-4-random-3,200,5,5,5,1
room-32-32-4,room-32-32-4-random-3,300,10,10,10,1
room-32-32-4,room-32-32-4-random-4,50,0,0,0,1
