label,v1_throughput,v2_throughput,delta_pct,winner
maze_20x20_a16,0.5365,0.5996,11.77,V2
maze_20x20_a32,0.5475,0.6719,22.71,V2
maze_20x20_a4,0.2142,0.2148,0.30,V2
maze_20x20_a8,0.3724,0.3919,5.24,V2
random_d0_a16,1.1699,1.1823,1.06,V2
random_d0_a32,2.2480,2.2786,1.36,V2
random_d0_a8,0.5905,0.5931,0.44,V2
random_d30_a16,0.6471,0.6003,-7.24,V1
random_d30_a32,0.4642,0.5059,8.98,V2
random_d30_a8,0.4681,0.4883,4.31,V2
warehouse_a32,1.1406,1.1576,1.48,V2
warehouse_a96,2.1211,2.1374,0.77,V2
