label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved
random_d0_a8,pico_s.*_od0_na32,8,0,0.603743976,13.25,True
random_d0_a8,pico_s.*_od0_na32,8,1,495.125550871,0.02,True
random_d0_a8,pico_s.*_od0_na32,8,2,465.38111339,0.02,True
random_d0_a16,pico_s.*_od0_na32,16,0,545.592226924,0.03,True
random_d0_a16,pico_s.*_od0_na32,16,1,0.633859475,25.24,False
random_d0_a16,pico_s.*_od0_na32,16,2,1.261121824,12.69,False
random_d0_a32,pico_s.*_od0_na32,32,0,628.114897831,0.05,True
random_d0_a32,pico_s.*_od0_na32,32,1,0.152478123,209.87,False
random_d0_a32,pico_s.*_od0_na32,32,2,0.157952024,202.59,False
random_d30_a8,pico_s.*_od30_na32,8,0,497.985028114,0.02,False
random_d30_a8,pico_s.*_od30_na32,8,1,292.076355486,0.03,False
random_d30_a8,pico_s.*_od30_na32,8,2,655.078223645,0.01,False
random_d30_a16,pico_s.*_od30_na32,16,0,0.725668012,22.05,False
random_d30_a16,pico_s.*_od30_na32,16,1,0.712868433,22.44,False
random_d30_a16,pico_s.*_od30_na32,16,2,0.709317454,22.56,False
random_d30_a32,pico_s.*_od30_na32,32,0,0.170092585,188.13,False
random_d30_a32,pico_s.*_od30_na32,32,1,0.172129615,185.91,False
random_d30_a32,pico_s.*_od30_na32,32,2,0.17191536,186.14,False
