label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length
random_d0_a8,pico_s.*_od0_na32,8,0,18.431828849,0.43,True,1.0,1.0,24.125
random_d0_a8,pico_s.*_od0_na32,8,1,22.049257496,0.36,True,1.0,1.0,19.625
random_d0_a8,pico_s.*_od0_na32,8,2,19.172217095,0.42,True,1.0,1.0,21.25
random_d0_a16,pico_s.*_od0_na32,16,0,36.928709233,0.43,True,1.0,1.0,20.5
random_d0_a16,pico_s.*_od0_na32,16,1,39.737396409,0.4,True,1.0,1.0,21.4375
random_d0_a16,pico_s.*_od0_na32,16,2,40.148718884,0.4,True,1.0,1.0,21.125
random_d0_a32,pico_s.*_od0_na32,32,0,67.407264666,0.47,True,1.0,1.0,21.28125
random_d0_a32,pico_s.*_od0_na32,32,1,73.713253839,0.43,True,1.0,1.0,23.78125
random_d0_a32,pico_s.*_od0_na32,32,2,60.923499152,0.53,True,1.0,1.0,23.71875
random_d30_a8,pico_s.*_od30_na32,8,0,11.034587153,0.72,True,0.75,0.0,108.125
random_d30_a8,pico_s.*_od30_na32,8,1,23.589333042,0.34,True,1.0,1.0,34.75
random_d30_a8,pico_s.*_od30_na32,8,2,20.374638565,0.39,True,1.0,1.0,27.125
random_d30_a16,pico_s.*_od30_na32,16,0,16.354223319,0.98,True,0.625,0.0,120.8125
random_d30_a16,pico_s.*_od30_na32,16,1,41.753971176,0.38,True,1.0,1.0,33.5
random_d30_a16,pico_s.*_od30_na32,16,2,32.80397874,0.49,True,1.0,1.0,35.75
random_d30_a32,pico_s.*_od30_na32,32,0,22.848090607,1.4,True,0.65625,0.0,108.84375
random_d30_a32,pico_s.*_od30_na32,32,1,54.379081221,0.59,True,1.0,1.0,39.0
random_d30_a32,pico_s.*_od30_na32,32,2,56.669945135,0.56,True,1.0,1.0,39.34375
Berlin_1_256_a8,Berlin_1_256,8,0,0.278936695,28.68,True,1.0,1.0,109.0,
Berlin_1_256_a8,Berlin_1_256,8,1,0.279760919,28.6,True,1.0,1.0,109.0,
Berlin_1_256_a8,Berlin_1_256,8,2,0.282344461,28.33,True,1.0,1.0,109.0,
Berlin_1_256_a16,Berlin_1_256,16,0,0.550128774,29.08,True,0.875,0.0,135.25,
Berlin_1_256_a16,Berlin_1_256,16,1,0.547880951,29.2,True,0.875,0.0,135.25,
Berlin_1_256_a16,Berlin_1_256,16,2,0.539444125,29.66,True,0.875,0.0,135.25,
Berlin_1_256_a32,Berlin_1_256,32,0,1.064259396,30.07,True,0.875,0.0,161.625,
Berlin_1_256_a32,Berlin_1_256,32,1,1.058124169,30.24,True,0.875,0.0,161.625,
Berlin_1_256_a32,Berlin_1_256,32,2,1.049709763,30.48,True,0.875,0.0,161.625,
Boston_0_256_a8,Boston_0_256,8,0,0.264025861,30.3,True,0.5,0.0,191.5,
Boston_0_256_a8,Boston_0_256,8,1,0.261504049,30.59,True,0.5,0.0,191.5,
Boston_0_256_a8,Boston_0_256,8,2,0.26506254,30.18,True,0.5,0.0,191.5,
Boston_0_256_a16,Boston_0_256,16,0,0.520386992,30.75,True,0.5,0.0,196.5625,
Boston_0_256_a16,Boston_0_256,16,1,0.504072821,31.74,True,0.5,0.0,196.5625,
Boston_0_256_a16,Boston_0_256,16,2,0.517753396,30.9,True,0.5,0.0,196.5625,
Boston_0_256_a32,Boston_0_256,32,0,1.005354807,31.83,True,0.625,0.0,188.53125,
Boston_0_256_a32,Boston_0_256,32,1,1.001986268,31.94,True,0.625,0.0,188.53125,
Boston_0_256_a32,Boston_0_256,32,2,0.998137051,32.06,True,0.625,0.0,188.53125,
