label,mean_throughput,std_throughput,success_rate,mean_ISR,mean_CSR,mean_ep_length
random_d0_a8,19.884434,1.560318,1.0,1.0,1.0,21.666667
random_d0_a16,38.938275,1.430865,1.0,1.0,1.0,21.020833
random_d0_a32,67.348006,5.221564,1.0,1.0,1.0,22.927083
random_d30_a8,18.332853,5.324915,1.0,0.916667,0.666667,56.666667
random_d30_a16,30.304058,10.518999,1.0,0.875,0.666667,63.354167
random_d30_a32,44.632372,15.432179,1.0,0.885417,0.666667,62.395833
Berlin_1_256_a8,0.280347,0.001452,1.0,1.0,1.0,109.0
Berlin_1_256_a16,0.545818,0.004599,1.0,0.875,0.0,135.25
Berlin_1_256_a32,1.057364,0.005964,1.0,0.875,0.0,161.625
Boston_0_256_a8,0.263531,0.001494,1.0,0.5,0.0,191.5
Boston_0_256_a16,0.514071,0.007151,1.0,0.5,0.0,196.5625
Boston_0_256_a32,1.001826,0.002949,1.0,0.625,0.0,188.53125
Paris_1_256_a8,0.26382,0.00013,1.0,0.875,0.0,149.0
Paris_1_256_a16,0.517434,0.005373,1.0,0.875,0.0,160.375
Paris_1_256_a32,1.010207,0.002442,1.0,0.75,0.0,168.8125
brc202d_a8,0.244438,0.003118,1.0,0.5,0.0,163.5
brc202d_a16,0.47005,0.002558,1.0,0.4375,0.0,196.0625
brc202d_a32,0.838697,0.002423,1.0,0.28125,0.0,220.375
den312d_a8,29.043198,1.059366,1.0,1.0,1.0,73.5
den312d_a16,57.714038,4.228077,1.0,1.0,1.0,59.6875
den312d_a32,64.096295,3.420233,1.0,1.0,1.0,56.96875
den520d_a8,0.714782,0.012987,1.0,0.875,0.0,165.0
den520d_a16,1.377465,0.010598,1.0,0.6875,0.0,180.4375
den520d_a32,2.621324,0.001632,1.0,0.84375,0.0,158.28125
empty-16-16_a8,212.140293,54.796667,1.0,1.0,1.0,10.5
empty-16-16_a16,355.650088,5.039706,1.0,1.0,1.0,10.125
empty-16-16_a32,294.185482,3.82136,1.0,1.0,1.0,11.84375
empty-32-32_a8,87.973353,1.535149,1.0,1.0,1.0,22.375
empty-32-32_a16,147.612375,7.139545,1.0,1.0,1.0,23.3125
empty-32-32_a32,270.184373,26.474839,1.0,1.0,1.0,20.9375
empty-48-48_a8,57.235465,6.836586,1.0,1.0,1.0,25.0
