label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length,error
Berlin_1_256_a8,Berlin_1_256,8,1,0.019939629,401.21,True,1.0,1.0,109.0,
Berlin_1_256_a8,Berlin_1_256,8,2,0.01846093,433.35,True,1.0,1.0,109.0,
Berlin_1_256_a8,Berlin_1_256,8,0,0.017219902,464.58,True,1.0,1.0,109.0,
Boston_0_256_a8,Boston_0_256,8,0,0.015912602,502.75,True,0.5,0.0,191.375,
Boston_0_256_a8,Boston_0_256,8,2,0.015904565,503.0,True,0.5,0.0,191.375,
Boston_0_256_a8,Boston_0_256,8,1,0.014881669,537.57,True,0.5,0.0,191.375,
Berlin_1_256_a16,Berlin_1_256,16,2,0.026045401,614.31,True,0.875,0.0,135.25,
Berlin_1_256_a16,Berlin_1_256,16,1,0.02603539,614.55,True,0.875,0.0,135.25,
Berlin_1_256_a16,Berlin_1_256,16,0,0.024678786,648.33,True,0.875,0.0,135.25,
Berlin_1_256_a32,Berlin_1_256,32,1,0.044087632,725.83,True,0.875,0.0,161.5625,
Berlin_1_256_a32,Berlin_1_256,32,2,0.044078432,725.98,True,0.875,0.0,161.5625,
Berlin_1_256_a32,Berlin_1_256,32,0,0.040164129,796.73,True,0.875,0.0,161.625,
Boston_0_256_a16,Boston_0_256,16,0,0.036175583,442.29,True,0.5,0.0,196.5,
Boston_0_256_a16,Boston_0_256,16,1,0.036050278,443.82,True,0.5,0.0,196.5,
Boston_0_256_a16,Boston_0_256,16,2,0.035750456,447.55,True,0.5,0.0,196.5,
Paris_1_256_a8,Paris_1_256,8,0,0.023491687,340.55,True,0.875,0.0,149.0,
Paris_1_256_a8,Paris_1_256,8,1,0.021444567,373.05,True,0.875,0.0,149.0,
Paris_1_256_a8,Paris_1_256,8,2,0.023567299,339.45,True,0.875,0.0,149.0,
Boston_0_256_a32,Boston_0_256,32,2,0.060690274,527.27,True,0.625,0.0,188.5,
Boston_0_256_a32,Boston_0_256,32,0,0.053858779,594.15,True,0.625,0.0,188.5,
Boston_0_256_a32,Boston_0_256,32,1,0.051998166,615.41,True,0.625,0.0,188.5,
Paris_1_256_a16,Paris_1_256,16,0,0.034473111,464.13,True,0.875,0.0,160.375,
Paris_1_256_a16,Paris_1_256,16,1,0.032204549,496.82,True,0.875,0.0,160.375,
Paris_1_256_a16,Paris_1_256,16,2,0.03752527,426.38,True,0.875,0.0,160.375,
brc202d_a8,brc202d,8,0,0.022553414,354.71,True,0.5,0.0,163.5,
brc202d_a8,brc202d,8,2,0.024812368,322.42,True,0.5,0.0,163.5,
brc202d_a8,brc202d,8,1,0.024768299,322.99,True,0.5,0.0,163.5,
Paris_1_256_a32,Paris_1_256,32,1,0.07182319,445.54,True,0.75,0.0,168.6875,
Paris_1_256_a32,Paris_1_256,32,0,0.066644647,480.16,True,0.75,0.0,168.625,
Paris_1_256_a32,Paris_1_256,32,2,0.077705463,411.81,True,0.75,0.0,168.6875,
den312d_a8,den312d,8,0,0.470662192,17.0,True,1.0,1.0,73.5,
den312d_a8,den312d,8,1,0.464831803,17.21,True,1.0,1.0,73.5,
den312d_a8,den312d,8,2,0.472158153,16.94,True,1.0,1.0,73.5,
brc202d_a16,brc202d,16,0,0.05886925,271.79,True,0.4375,0.0,196.0625,
brc202d_a16,brc202d,16,1,0.063833875,250.65,True,0.4375,0.0,196.0625,
brc202d_a16,brc202d,16,2,0.077567777,206.27,True,0.4375,0.0,196.0625,
den312d_a16,den312d,16,0,0.322288302,49.64,True,1.0,1.0,59.9375,
den312d_a16,den312d,16,2,0.269330111,59.41,True,1.0,1.0,59.9375,
den312d_a16,den312d,16,1,0.267791317,59.75,True,1.0,1.0,59.9375,
den312d_a32,den312d,32,0,0.361137339,88.61,True,1.0,1.0,56.40625,
den312d_a32,den312d,32,1,0.325513027,98.31,True,1.0,1.0,56.71875,
den312d_a32,den312d,32,2,0.29350278,109.03,True,1.0,1.0,56.59375,
brc202d_a32,brc202d,32,0,0.122883544,260.41,True,0.28125,0.0,220.375,
brc202d_a32,brc202d,32,2,0.140051468,228.49,True,0.28125,0.0,220.3125,
brc202d_a32,brc202d,32,1,0.139673362,229.11,True,0.28125,0.0,220.3125,
empty-16-16_a8,empty-16-16,8,0,2.86715546,2.79,True,1.0,1.0,10.5,
empty-16-16_a8,empty-16-16,8,1,3.059664141,2.61,True,1.0,1.0,10.5,
empty-16-16_a8,empty-16-16,8,2,3.150944837,2.54,True,1.0,1.0,10.5,
empty-16-16_a16,empty-16-16,16,0,5.148678116,3.11,True,1.0,1.0,10.125,
empty-16-16_a16,empty-16-16,16,1,5.079526899,3.15,True,1.0,1.0,10.0,
empty-16-16_a16,empty-16-16,16,2,5.177413362,3.09,True,1.0,1.0,9.875,
empty-16-16_a32,empty-16-16,32,0,8.778665162,3.65,True,1.0,1.0,11.21875,
empty-16-16_a32,empty-16-16,32,2,8.698407773,3.68,True,1.0,1.0,11.0,
empty-16-16_a32,empty-16-16,32,1,6.187512787,5.17,True,1.0,1.0,11.59375,
empty-32-32_a8,empty-32-32,8,0,1.653288473,4.84,True,1.0,1.0,22.375,
den520d_a8,den520d,8,0,0.062242112,128.53,True,0.875,0.0,165.0,
den520d_a8,den520d,8,1,0.067952199,117.73,True,0.875,0.0,165.0,
den520d_a8,den520d,8,2,0.074416296,107.5,True,0.875,0.0,165.0,
empty-32-32_a8,empty-32-32,8,1,1.589389093,5.03,True,1.0,1.0,22.375,
empty-32-32_a8,empty-32-32,8,2,1.592633769,5.02,True,1.0,1.0,22.375,
empty-32-32_a16,empty-32-32,16,0,2.126213469,7.53,True,1.0,1.0,23.1875,
empty-32-32_a16,empty-32-32,16,1,2.10695373,7.59,True,1.0,1.0,23.1875,
empty-32-32_a16,empty-32-32,16,2,2.062183096,7.76,True,1.0,1.0,23.1875,
empty-32-32_a32,empty-32-32,32,0,3.386988355,9.45,True,1.0,1.0,20.90625,
empty-32-32_a32,empty-32-32,32,1,3.347676236,9.56,True,1.0,1.0,21.0,
den520d_a16,den520d,16,0,0.154117684,103.82,True,0.75,0.0,180.3125,
den520d_a16,den520d,16,2,0.171562725,93.26,True,0.75,0.0,180.1875,
den520d_a16,den520d,16,1,0.170674407,93.75,True,0.75,0.0,180.3125,
empty-32-32_a32,empty-32-32,32,2,3.240826029,9.87,True,1.0,1.0,20.90625,
