label,mean_throughput,std_throughput,success_rate,mean_ISR,mean_CSR,mean_ep_length
Berlin_1_256_a8,0.01854,0.001112,1.0,1.0,1.0,109.0
Boston_0_256_a8,0.015566,0.000484,1.0,0.5,0.0,191.375
Berlin_1_256_a16,0.025587,0.000642,1.0,0.875,0.0,135.25
Berlin_1_256_a32,0.042777,0.001847,1.0,0.875,0.0,161.583333
Boston_0_256_a16,0.035992,0.000178,1.0,0.5,0.0,196.5
Paris_1_256_a8,0.022835,0.000983,1.0,0.875,0.0,149.0
Boston_0_256_a32,0.055516,0.003737,1.0,0.625,0.0,188.5
Paris_1_256_a16,0.034734,0.00218,1.0,0.875,0.0,160.375
brc202d_a8,0.024045,0.001055,1.0,0.5,0.0,163.5
Paris_1_256_a32,0.072058,0.004519,1.0,0.75,0.0,168.666667
den312d_a8,0.469217,0.003161,1.0,1.0,1.0,73.5
brc202d_a16,0.066757,0.007909,1.0,0.4375,0.0,196.0625
den312d_a16,0.28647,0.025335,1.0,1.0,1.0,59.9375
den312d_a32,0.326718,0.027625,1.0,1.0,1.0,56.572917
brc202d_a32,0.134203,0.008005,1.0,0.28125,0.0,220.333333
empty-16-16_a8,3.025921,0.118288,1.0,1.0,1.0,10.5
empty-16-16_a16,5.135206,0.041082,1.0,1.0,1.0,10.0
empty-16-16_a32,7.888195,1.20301,1.0,1.0,1.0,11.270833
empty-32-32_a8,1.61177,0.029388,1.0,1.0,1.0,22.375
den520d_a8,0.068204,0.004973,1.0,0.875,0.0,165.0
empty-32-32_a16,2.09845,0.026823,1.0,1.0,1.0,23.1875
empty-32-32_a32,3.325164,0.061757,1.0,1.0,1.0,20.9375
den520d_a16,0.165452,0.008022,1.0,0.75,0.0,180.270833
empty-48-48_a8,1.475203,0.032326,1.0,1.0,1.0,25.0
empty-8-8_a8,4.869877,0.068775,1.0,1.0,1.0,8.083333
empty-8-8_a16,9.563132,0.838596,1.0,1.0,1.0,6.916667
empty-48-48_a16,2.34601,0.163264,1.0,1.0,1.0,23.958333
empty-8-8_a32,5.500018,0.55823,1.0,1.0,1.0,8.729167
empty-48-48_a32,2.02084,0.075098,1.0,1.0,1.0,28.40625
den520d_a32,0.412019,0.038499,1.0,0.864583,0.0,158.15625
ht_chantry_a8,0.299224,0.007819,1.0,1.0,1.0,87.125
ht_chantry_a16,0.517705,0.013025,1.0,1.0,1.0,77.25
ht_mansion_n_a8,0.281749,0.017359,1.0,1.0,1.0,98.458333
ht_chantry_a32,0.619865,0.02893,1.0,1.0,1.0,77.40625
ht_mansion_n_a16,0.312552,0.014946,1.0,1.0,1.0,95.645833
ht_mansion_n_a32,0.49052,0.014572,1.0,1.0,1.0,87.489583
lak303d_a8,0.129173,0.004642,1.0,0.75,0.0,140.125
lak303d_a16,0.257578,0.008413,1.0,0.75,0.0,157.75
lt_gallowstemplar_n_a8,0.201743,0.003237,1.0,1.0,1.0,128.375
lak303d_a32,0.443392,0.013033,1.0,0.84375,0.0,154.645833
lt_gallowstemplar_n_a16,0.325836,0.015419,1.0,1.0,1.0,102.9375
maze-128-128-1_a8,0.17906,0.006712,1.0,0.25,0.0,222.625
lt_gallowstemplar_n_a32,0.490736,0.029533,1.0,1.0,1.0,110.083333
maze-128-128-1_a16,0.261279,0.005196,1.0,0.3125,0.0,233.5
maze-128-128-1_a32,0.422199,0.016501,1.0,0.385417,0.0,219.28125
maze-128-128-10_a8,0.131564,0.002292,1.0,0.625,0.0,184.875
maze-128-128-10_a16,0.240731,0.005099,1.0,0.6875,0.0,178.875
maze-128-128-10_a32,0.428081,0.010481,1.0,0.625,0.0,183.302083
maze-128-128-2_a8,0.157816,0.006018,1.0,0.125,0.0,226.625
maze-32-32-2_a8,0.871366,0.012831,1.0,1.0,1.0,42.875
