label,map_name,num_agents,seed,avg_throughput,elapsed_s,solved,ISR,CSR,ep_length,planning_time_ms
random_d0_a8,pico_s.*_od0_na32,8,0,0.4,0.02,True,1.0,1.0,20,22.4
random_d0_a8,pico_s.*_od0_na32,8,1,0.421052632,0.02,True,1.0,1.0,19,21.48
random_d0_a8,pico_s.*_od0_na32,8,2,0.421052632,0.02,True,1.0,1.0,19,22.5
random_d0_a16,pico_s.*_od0_na32,16,0,0.727272727,0.07,True,1.0,1.0,22,62.67
random_d0_a16,pico_s.*_od0_na32,16,1,0.842105263,0.04,True,1.0,1.0,19,38.41
random_d0_a16,pico_s.*_od0_na32,16,2,0.5,0.05,True,1.0,1.0,32,44.47
random_d0_a32,pico_s.*_od0_na32,32,0,1.333333333,0.09,True,1.0,1.0,24,86.55
random_d0_a32,pico_s.*_od0_na32,32,1,1.391304348,0.09,True,1.0,1.0,23,84.45
random_d0_a32,pico_s.*_od0_na32,32,2,1.0,0.09,True,1.0,1.0,32,87.52
random_d30_a8,pico_s.*_od30_na32,8,0,0.275862069,0.02,True,1.0,1.0,29,14.79
random_d30_a8,pico_s.*_od30_na32,8,1,0.258064516,0.01,True,1.0,1.0,31,10.89
random_d30_a8,pico_s.*_od30_na32,8,2,0.296296296,0.02,True,1.0,1.0,27,15.57
random_d30_a16,pico_s.*_od30_na32,16,0,0.4,0.05,True,1.0,1.0,40,46.6
random_d30_a16,pico_s.*_od30_na32,16,1,0.0,0.27,False,0.0,0.0,,265.21
random_d30_a16,pico_s.*_od30_na32,16,2,0.0,0.03,False,0.0,0.0,,34.57
random_d30_a32,pico_s.*_od30_na32,32,0,0.0,0.95,False,0.0,0.0,,949.77
random_d30_a32,pico_s.*_od30_na32,32,1,0.0,2.55,False,0.0,0.0,,2550.91
random_d30_a32,pico_s.*_od30_na32,32,2,0.0,1.35,False,0.0,0.0,,1353.74
maze_20x20_a4,mazes-s.*_20x20,4,0,0.137931034,0.01,True,1.0,1.0,29,6.21
maze_20x20_a4,mazes-s.*_20x20,4,1,0.117647059,0.01,True,1.0,1.0,34,7.21
maze_20x20_a4,mazes-s.*_20x20,4,2,0.142857143,0.01,True,1.0,1.0,28,6.97
maze_20x20_a8,mazes-s.*_20x20,8,0,0.235294118,0.02,True,1.0,1.0,34,14.38
maze_20x20_a8,mazes-s.*_20x20,8,1,0.235294118,0.02,True,1.0,1.0,34,14.91
maze_20x20_a8,mazes-s.*_20x20,8,2,0.205128205,0.02,True,1.0,1.0,39,15.12
maze_20x20_a16,mazes-s.*_20x20,16,0,0.41025641,0.04,True,1.0,1.0,39,34.29
maze_20x20_a16,mazes-s.*_20x20,16,1,0.421052632,0.04,True,1.0,1.0,38,31.49
maze_20x20_a16,mazes-s.*_20x20,16,2,0.285714286,0.06,True,1.0,1.0,56,55.85
maze_20x20_a32,mazes-s.*_20x20,32,0,0.0,0.54,False,0.0,0.0,,541.29
maze_20x20_a32,mazes-s.*_20x20,32,1,0.0,0.75,False,0.0,0.0,,747.98
maze_20x20_a32,mazes-s.*_20x20,32,2,0.0,1.14,False,0.0,0.0,,1137.03
